filename,split,method,overall_similarity,contrast_ratio_similarity,laplacian_variance_similarity,entropy_similarity,edge_density_similarity,dynamic_range_similarity,local_contrast_consistency_similarity
meattest-6_r7_c4.jpg,train,current_zscore,0.3994400159812024,5.488094658490637e-07,0.5147746976415792,0.019626918211507017,1.0,0.39345760433570065,0.4687803268889616
meattest-6_r7_c4.jpg,train,clahe_percentile,0.09964407643201563,0.580416577802545,0.0,2.1958966727516374e-19,0.0,2.28804e-318,0.01744788078954883
meattest-6_r7_c4.jpg,train,mild_clahe_percentile,0.07828993667845315,0.4522427064382176,7.18194323831414e-304,4.956859965436753e-19,0.0,2.28804e-318,0.017496913632501256
meattest-6_r7_c4.jpg,train,percentile_only,0.05700282490198813,0.323998707986164,1.078214056365509e-121,3.055352870208087e-18,0.0,2.28804e-318,0.018018241425764817
6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c6.jpg,train,current_zscore,0.39781383498434186,0.5928768124380924,0.7386536168258659,0.025981292328969938,1.0,0.02929327777873061,7.801053439226267e-05
6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c6.jpg,train,clahe_percentile,0.030516666871323515,0.16324238994186074,0.0,1.7945134652346753e-15,0.0,2.28804e-318,0.019857611286078537
6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c6.jpg,train,mild_clahe_percentile,0.028521769829601626,0.15100098801680129,0.0,6.5198822042760025e-15,0.0,2.28804e-318,0.020129630960801937
6 BEEF Shoulder -1_grid_5x5_r6_c1_r2_c6.jpg,train,percentile_only,0.027116915931574347,0.14083913045022958,2.327417851700261e-124,1.2220244571824993e-13,0.0,2.28804e-318,0.021862365139094297
Meat_Lauren_r3_c2.jpg,train,current_zscore,0.33726343727379554,6.785155608051299e-13,0.41144616492015135,0.04602106578754431,1.0,0.39345871910389646,0.17265467383050284
Meat_Lauren_r3_c2.jpg,train,clahe_percentile,0.08525896152448897,0.493856251861849,0.0,6.764347588104455e-19,0.0,2.28804e-318,0.017697517285084802
Meat_Lauren_r3_c2.jpg,train,mild_clahe_percentile,0.072396110200817,0.4165396594157056,1.1031927243127982e-305,1.5331948225066384e-18,0.0,2.28804e-318,0.017837001789196415
Meat_Lauren_r3_c2.jpg,train,percentile_only,0.0533087470065347,0.3011870739957163,1.8876112101812913e-112,2.3017523733665884e-17,0.0,2.28804e-318,0.018665408043491896
meattest-31_r7_c2.jpg,train,current_zscore,0.4440759049077548,6.454841877159515e-05,0.9594707621548703,0.01859012114326267,1.0,0.39345760433570065,0.2928723933939237
meattest-31_r7_c2.jpg,train,clahe_percentile,0.0536008803016212,0.3036265685572471,0.0,3.0297594719509866e-18,0.0,2.28804e-318,0.01797871325248005
meattest-31_r7_c2.jpg,train,mild_clahe_percentile,0.045438687548108515,0.2546934387390411,0.0,1.1620934514210425e-17,0.0,2.28804e-318,0.01793868654961003
meattest-31_r7_c2.jpg,train,percentile_only,0.03440936736591727,0.1882045056742344,3.5241888633497615e-152,2.373878887880286e-16,0.0,2.28804e-318,0.018251698521268987
6 BEEF Shoulder -1_grid_5x5_r6_c1_r7_c2.jpg,train,current_zscore,0.4030628277724586,0.15166607482942374,0.8322122194851928,0.06606172639986116,1.0,0.3106997449341328,0.05773720098614123
6 BEEF Shoulder -1_grid_5x5_r6_c1_r7_c2.jpg,train,clahe_percentile,0.03866032178259766,0.21321466005235978,0.0,1.0051394919703347e-16,0.0,2.28804e-318,0.018747270643226028
6 BEEF Shoulder -1_grid_5x5_r6_c1_r7_c2.jpg,train,mild_clahe_percentile,0.03608123204128119,0.1978221617367797,2.558149905e-315,4.0137859563326966e-16,0.0,2.28804e-318,0.018665230510907085
6 BEEF Shoulder -1_grid_5x5_r6_c1_r7_c2.jpg,train,percentile_only,0.03155520794167975,0.1702667388791552,1.1763683996962046e-124,2.6793620548401403e-14,0.0,2.28804e-318,0.01906450877089653
6 BEEF Shoulder -1_grid_5x5_r6_c3_r3_c2.jpg,train,current_zscore,0.3165772504841754,0.012780016089054946,0.5590384918219007,0.06736583004944934,1.0,0.15299236458621493,0.10728680035843238
6 BEEF Shoulder -1_grid_5x5_r6_c3_r3_c2.jpg,train,clahe_percentile,0.0349329040696937,0.19117881530764186,0.0,1.9558283317787022e-16,0.0,2.28804e-318,0.01841860911052014
6 BEEF Shoulder -1_grid_5x5_r6_c3_r3_c2.jpg,train,mild_clahe_percentile,0.03219928928404316,0.17478555773609528,7.23153759814e-313,7.326321652599564e-16,0.0,2.28804e-318,0.018410177968162997
6 BEEF Shoulder -1_grid_5x5_r6_c3_r3_c2.jpg,train,percentile_only,0.027162776258234416,0.1441947487252432,1.0823332146812705e-108,2.6088521323796027e-14,0.0,2.28804e-318,0.01878190882413718
3rd Meat_grid_5x5_r0_c1_r0_c2.jpg,train,current_zscore,0.23518393787708577,0.0003252434837968982,0.2533462976689512,0.151725610533389,1.0,0.004984124589932455,0.0007223509864448079
3rd Meat_grid_5x5_r0_c1_r0_c2.jpg,train,clahe_percentile,0.06991802455924369,0.40115681983640894,0.0,2.7809267716942022e-18,0.0,2.28804e-318,0.0183513275190532
3rd Meat_grid_5x5_r0_c1_r0_c2.jpg,train,mild_clahe_percentile,0.05452844939542215,0.3083905280926951,0.0,9.76902070089878e-18,0.0,2.28804e-318,0.018780168279837813
3rd Meat_grid_5x5_r0_c1_r0_c2.jpg,train,percentile_only,0.04671297523672117,0.25960537581652154,2.8234716569086327e-127,1.2183814347556009e-16,0.0,2.28804e-318,0.02067247560380537
6 BEEF Shoulder -1_grid_5x5_r2_c1_r7_c5.jpg,train,current_zscore,0.28777578695094014,2.8029497670354477e-05,0.3437435795224723,0.04681991834652261,1.0,0.24534875025511385,0.09071444408386165
6 BEEF Shoulder -1_grid_5x5_r2_c1_r7_c5.jpg,train,clahe_percentile,0.0642420225657676,0.367597553100733,1.4866568942091304e-230,4.284156648833842e-18,0.0,2.28804e-318,0.017854582293872615
6 BEEF Shoulder -1_grid_5x5_r2_c1_r7_c5.jpg,train,mild_clahe_percentile,0.05386931848939599,0.30522324588912,3.3423007743817833e-187,1.224468188037471e-17,0.0,2.28804e-318,0.01799266504725596
6 BEEF Shoulder -1_grid_5x5_r2_c1_r7_c5.jpg,train,percentile_only,0.03855279393258646,0.21244396235452206,1.0646093595271324e-65,2.2556931544888154e-16,0.0,2.28804e-318,0.018872801240996485
meattest-31_r7_c0.jpg,train,current_zscore,0.3722815964451555,6.735696109397143e-05,0.26833707407154933,0.013930228767873384,1.0,0.6309766194555367,0.3203782994148797
meattest-31_r7_c0.jpg,train,clahe_percentile,0.08791058779872858,0.5102063902647607,0.0,6.366356811171513e-19,0.0,2.28804e-318,0.01725713652761088
meattest-31_r7_c0.jpg,train,mild_clahe_percentile,0.07897288516019532,0.45642125374480536,0.0,9.949009645660166e-19,0.0,2.28804e-318,0.01741605721636656
meattest-31_r7_c0.jpg,train,percentile_only,0.08296322327139949,0.4794352318451451,1.4781577143655427e-141,3.3342346292838365e-18,0.0,2.28804e-318,0.018344107783251847
6 BEEF Shoulder -1_grid_5x5_r3_c0_r1_c8.jpg,train,current_zscore,0.3026180742230437,1.8043690471759255e-17,0.5454921123928811,0.02282385104014561,1.0,0.24534875025511385,0.0020437316501215547
6 BEEF Shoulder -1_grid_5x5_r3_c0_r1_c8.jpg,train,clahe_percentile,0.0699538146002435,0.40093728130991735,2.7295135360179344e-278,1.9034149248742363e-18,0.0,2.28804e-318,0.01878560629154362
6 BEEF Shoulder -1_grid_5x5_r3_c0_r1_c8.jpg,train,mild_clahe_percentile,0.06018067426549902,0.34216084421750154,5.890955487824582e-255,6.663204480509916e-18,0.0,2.28804e-318,0.018923201375492575
6 BEEF Shoulder -1_grid_5x5_r3_c0_r1_c8.jpg,train,percentile_only,0.04499980737821274,0.24946701791147396,2.3356143356956285e-96,1.3229139248755914e-16,0.0,2.28804e-318,0.02053182635780237
6 BEEF Shoulder -1_grid_5x5_r6_c2_r6_c7.jpg,train,current_zscore,0.3737835703341649,1.2575217944925144e-09,0.933391275840339,0.02493883636860226,1.0,0.21802451388274402,0.06634679465578229
6 BEEF Shoulder -1_grid_5x5_r6_c2_r6_c7.jpg,train,clahe_percentile,0.0560412428963378,0.3181531973097383,0.0,1.933732304814114e-18,0.0,2.28804e-318,0.018094260068288504
6 BEEF Shoulder -1_grid_5x5_r6_c2_r6_c7.jpg,train,mild_clahe_percentile,0.04877099785785568,0.2744747749335534,0.0,6.683585334622725e-18,0.0,2.28804e-318,0.01815121221358071
6 BEEF Shoulder -1_grid_5x5_r6_c2_r6_c7.jpg,train,percentile_only,0.03826549955251727,0.21061611721024565,1.0195679170311018e-177,1.8602109942056422e-16,0.0,2.28804e-318,0.018976880104857773
"4th Meat, 400 g, 3 wts_grid_5x5_r0_c2_r8_c0.jpg",train,current_zscore,0.2000903078922354,2.0347221575482646e-24,0.17780625771963263,0.02271501247571718,1.0,1.9386120698219327e-05,1.191037364257888e-06
"4th Meat, 400 g, 3 wts_grid_5x5_r0_c2_r8_c0.jpg",train,clahe_percentile,0.06085937927584723,0.34546332455083945,0.0,5.173584176911531e-18,0.0,2.28804e-318,0.01969295110424396
